flowKey,Speed
"(3, 1, '00:00:00:00:00:02', 2)",-1511.460900900901
"(3, 1, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(4, 1, '00:00:00:00:00:02', 3)",0.0
"(4, 2, '00:00:00:00:00:02', 3)",0.0
"(2, 1, '00:00:00:00:00:02', 2)",-184.09527432333576
"(2, 1, '00:00:00:00:00:02', 2)",0.0
"(2, 2, '00:00:00:00:00:02', 2)",0.0
"(4, 1, '00:00:00:00:00:01', 3)",0.0
"(4, 1, '00:00:00:00:00:01', 3)",0.0
"(4, 1, '00:00:00:00:00:01', 3)",0.0
"(4, 1, '00:00:00:00:00:02', 3)",0.0
"(4, 1, '00:00:00:00:00:02', 3)",-112.7690539405142
"(4, 1, '00:00:00:00:00:02', 3)",0.0
"(4, 1, '00:00:00:00:00:02', 3)",108.51430604214951
"(4, 2, '00:00:00:00:00:01', 3)",0.0
"(4, 2, '00:00:00:00:00:01', 3)",0.0
"(4, 2, '00:00:00:00:00:01', 3)",0.0
"(4, 2, '00:00:00:00:00:02', 3)",0.0
"(4, 2, '00:00:00:00:00:02', 3)",-133.33769918537652
"(4, 2, '00:00:00:00:00:02', 3)",0.0
"(4, 2, '00:00:00:00:00:02', 3)",121.55200869407716
"(3, 1, '00:00:00:00:00:01', 2)",0.0
"(3, 1, '00:00:00:00:00:02', 2)",-137.21823336968376
"(3, 1, '00:00:00:00:00:02', 2)",85.22121232644768
"(3, 2, '00:00:00:00:00:01', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(2, 1, '00:00:00:00:00:01', 2)",0.0
"(2, 1, '00:00:00:00:00:02', 2)",-294.1221212563915
"(2, 1, '00:00:00:00:00:02', 2)",120.18063037249284
"(2, 2, '00:00:00:00:00:01', 2)",0.0
"(2, 2, '00:00:00:00:00:01', 2)",0.0
"(2, 2, '00:00:00:00:00:01', 2)",0.0
"(2, 2, '00:00:00:00:00:02', 2)",0.0
"(2, 2, '00:00:00:00:00:02', 2)",0.0
"(2, 2, '00:00:00:00:00:02', 2)",0.0
"(2, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 1, '00:00:00:00:00:01', 2)",0.0
"(3, 1, '00:00:00:00:00:01', 2)",-74.50193982903453
"(3, 1, '00:00:00:00:00:01', 2)",0.0
"(3, 1, '00:00:00:00:00:02', 2)",-302.4738461538461
"(3, 1, '00:00:00:00:00:02', 2)",137.33055388813096
"(3, 1, '00:00:00:00:00:02', 2)",-91.4248181281504
"(3, 1, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:01', 2)",0.0
"(3, 2, '00:00:00:00:00:01', 2)",0.0
"(3, 2, '00:00:00:00:00:01', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(3, 2, '00:00:00:00:00:02', 2)",0.0
"(4, 1, '00:00:00:00:00:01', 3)",125.17196717234519
"(4, 1, '00:00:00:00:00:01', 3)",-117.20025148445687
"(4, 1, '00:00:00:00:00:01', 3)",92.26699908340971
"(4, 1, '00:00:00:00:00:02', 3)",0.0
"(4, 1, '00:00:00:00:00:02', 3)",0.0
