Time,flowKey,Speed
1686559879.0364585,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686559879.0751503,"(2, 2, '00:00:00:00:00:02', 2)",0.0
1686559879.0981045,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.0
1686559879.1101441,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.5305383,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.5376494,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.5451403,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.5543227,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.5624359,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.5817943,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.5874496,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.5906863,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.5975547,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.6073518,"(4, 1, '00:00:00:00:00:02', 4294967291)",3.4657159812206575
1686559882.612549,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.6206691,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.627942,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.6383212,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.6436605,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686559882.6539686,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.7559398571170411
1686559882.6631114,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686559882.7288356,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686559882.738912,"(3, 1, '00:00:00:00:00:02', 2)",2.712209686510104
1686559882.7484596,"(3, 2, '00:00:00:00:00:01', 2)",1.0104689997211636
1686559882.7558265,"(3, 2, '00:00:00:00:00:01', 2)",0.43654751493575844
